row_id,client_id,timestamp,signup_date,age,transaction_amount,total_spend_full_history,next_transaction_amount,device_type,target_churn,churn_reason
r1,c1,2026-01-10T10:00:00Z,2025-12-01,30,100.0,250.0,150.0,,0,
r2,c1,2026-02-15T11:00:00Z,2025-12-01,30,150.0,250.0,0.0,,0,
r3,c2,2026-03-01T12:00:00Z,2026-01-01,25,50.0,120.0,70.0,Mobile,0,
r4,c2,2026-05-10T09:00:00Z,2026-01-01,25,70.0,120.0,0.0,Mobile,1,dissatisfied
r5,c3,2026-04-12T14:30:00Z,2026-02-01,40,200.0,200.0,0.0,,0,
r6,c4,2026-01-20T15:00:00Z,2026-01-01,35,80.0,80.0,0.0,,0,
r6,c4,2026-01-20T15:00:00Z,2026-01-01,35,80.0,80.0,0.0,,0,
r7,c5,2026-02-20T10:00:00Z,2026-02-01,28,90.0,190.0,100.0,,0,
r8,c5,2026-03-25T11:00:00Z,2026-02-15,28,100.0,190.0,0.0,,0,
r9,c6,2026-07-01T12:00:00Z,2026-03-01,45,300.0,300.0,0.0,Desktop,1,expensive
