timestamp,asset,open,high,low,close,volume
2024-01-01T09:30:00-05:00,ALPHA,100.00,101.00,99.00,100.00,1000
2024-01-01T10:30:00-05:00,ALPHA,102.00,103.00,101.00,102.00,1000
2024-01-02T09:30:00Z,ALPHA,53.00,54.00,52.00,53.00,800
2024-01-03T09:30:00Z,ALPHA,54.00,55.00,53.00,54.00,1000
2024-01-04T09:30:00Z,ALPHA,55.00,56.00,54.00,55.00,1000
2024-01-01T09:30:00-05:00,BETA,50.00,51.00,49.00,50.00,2000
2024-01-01T10:30:00-05:00,BETA,49.00,50.00,48.00,49.00,2000
2024-01-02T09:30:00Z,BETA,51.00,52.00,50.00,51.00,1800
2024-01-03T09:30:00Z,BETA,52.00,53.00,51.00,52.00,2000
2024-01-04T09:30:00Z,BETA,51.50,52.50,50.50,51.50,2000
