date,Asset_A,Asset_B
2025-01-01,100.0000,120.0000
2025-01-02,99.5473,119.7943
2025-01-03,99.5343,119.6742
2025-01-06,99.4507,119.2394
2025-01-07,100.2309,120.7287
2025-01-08,99.9616,120.1300
2025-01-09,99.7088,119.7058
2025-01-10,98.8979,118.6136
2025-01-13,98.7692,118.7093
2025-01-14,98.8965,118.6518
2025-01-15,99.0768,118.9176
2025-01-16,98.8896,118.2390
2025-01-17,99.2565,118.7851
2025-01-20,98.8530,118.1356
2025-01-21,98.4772,117.8806
2025-01-22,98.1959,117.4773
2025-01-23,97.4582,116.7746
2025-01-24,97.9368,117.6311
2025-01-27,97.6618,117.5215
2025-01-28,98.2763,118.0385
2025-01-29,98.8910,119.0427
2025-01-30,98.8440,118.9976
2025-01-31,98.9461,119.2416
2025-02-03,98.2014,117.9668
2025-02-04,97.8422,117.5922
2025-02-05,98.3180,117.7397
2025-02-06,98.2405,118.0060
2025-02-07,97.9935,117.9091
2025-02-10,98.5329,118.5276
2025-02-11,99.3267,119.2393
2025-02-12,99.2730,119.3825
2025-02-13,99.2972,119.2573
2025-02-14,99.3063,119.2187
2025-02-17,99.3347,119.0976
2025-02-18,100.5290,120.4585
2025-02-19,100.2931,120.5440
2025-02-20,100.8464,121.3950
2025-02-21,100.8331,120.9947
2025-02-24,100.1297,120.3081
2025-02-25,100.1608,119.8848
2025-02-26,100.1410,120.0951
2025-02-27,99.7696,119.6788
2025-02-28,100.3650,120.1256
2025-03-03,99.5064,119.1442
2025-03-04,100.2191,120.1980
2025-03-05,100.1281,120.3303
2025-03-06,100.0819,120.1347
2025-03-07,101.6502,122.1769
2025-03-10,101.5289,121.7368
2025-03-11,101.6315,121.4498
2025-03-12,101.0814,121.0278
2025-03-13,101.2219,121.1685
2025-03-14,101.5361,122.1608
2025-03-17,101.3219,121.5139
2025-03-18,100.5151,120.3413
2025-03-19,100.2209,120.3077
2025-03-20,100.0557,120.4227
2025-03-21,100.2556,120.4561
2025-03-24,101.8324,122.3142
2025-03-25,102.5250,123.0376
2025-03-26,102.3320,123.0141
2025-03-27,102.0904,122.5465
2025-03-28,101.3132,121.5611
2025-03-31,101.7025,122.2303
2025-04-01,102.0334,122.7621
2025-04-02,101.0820,121.5501
2025-04-03,99.9240,120.1435
2025-04-04,99.7521,119.3744
2025-04-07,99.1952,119.2234
2025-04-08,99.8083,119.5675
2025-04-09,100.1164,119.7162
2025-04-10,99.9825,119.5539
2025-04-11,99.6139,119.3580
2025-04-14,99.8744,119.8813
2025-04-15,99.5836,119.6679
2025-04-16,100.0854,120.1054
2025-04-17,100.3151,120.4400
2025-04-18,100.7815,121.2731
2025-04-21,100.6605,120.9403
2025-04-22,100.9630,121.0552
2025-04-23,100.8196,121.1505
2025-04-24,101.1162,121.5114
2025-04-25,101.0777,121.4659
2025-04-28,100.6768,121.3964
2025-04-29,100.8516,121.2981
2025-04-30,101.4812,121.9933
2025-05-01,101.2167,121.3740
2025-05-02,100.8691,121.0109
2025-05-05,101.0676,121.2022
