date,asset_a,asset_b,asset_c
2026-06-01,0.005,-0.012,0.008
2026-06-02,-0.008,0.015,-0.003
2026-06-03,0.012,-0.005,0.010
2026-06-04,-0.015,-0.022,-0.018
2026-06-05,0.003,0.008,-0.005
2026-06-06,-0.025,0.010,-0.015
2026-06-07,0.000,-0.005,0.005
2026-06-08,0.018,0.022,0.015
2026-06-09,-0.005,-0.010,-0.008
2026-06-10,-0.035,-0.045,-0.030
2026-06-11,0.008,0.012,-0.002
2026-06-12,-0.012,-0.008,-0.010
2026-06-13,0.004,-0.003,0.006
2026-06-14,-0.018,0.005,-0.012
2026-06-15,0.015,0.020,0.018
2026-06-16,-0.002,-0.005,-0.004
2026-06-17,-0.028,-0.032,-0.025
2026-06-18,0.010,-0.012,0.002
2026-06-19,-0.007,-0.015,-0.010
2026-06-20,0.022,0.025,0.020
